track_name,track_artist,playlist_genre,emotion
distance,Nohidea,rap,energetic
Veridis Quo,Daft Punk,pop,energetic
aural sex,less.people,rap,energetic
Unthinkable,Idealism,rap,energetic
Lavender,Casiio,rap,energetic
Unfaithful,H E R B,rap,energetic
Nothing changes: everything is different,H.1,rap,energetic
Relaxing Crickets And Waterfall,Natural Sound Makers,latin,energetic
Hark,Tom Misch,pop,energetic
spaced out,Cozy Collective,rap,energetic
