track_name,track_artist,playlist_genre,emotion
Once Again - Original Mix,Headhunterz,edm,sad
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,r&b,sad
Underneath,Code Orange,rock,sad
Adrenalize,In This Moment,rock,sad
Cecilia And The Satellite,Andrew McMahon in the Wilderness,pop,sad
I'm a Wanted Man,Royal Deluxe,rap,sad
Virtual Gaming,Naeleck,edm,sad
Iron Man - 2014 Remaster,Black Sabbath,rock,sad
I Stand Alone,Godsmack,rock,sad
Work It Out,Knox Hamilton,pop,sad
