track_name,track_artist,playlist_genre,emotion
La La La,Naughty Boy,pop,happy
Broccoli,DRAM,latin,happy
Independent (feat. Lil' Boosie and Lil' Phat),Webbie,rap,happy
My Love Is Your Love,Whitney Houston,r&b,happy
Don't Stop,Fleetwood Mac,rock,happy
Flawless - Radio Edit,The Ones,edm,happy
Sixteen - Don Diablo Remix,Ellie Goulding,edm,happy
VIBEZ,DaBaby,rap,happy
Is She Really Going Out With Him?,Joe Jackson,rock,happy
Back That Azz Up,Juvenile,rap,happy
